Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~projet_pcb_etu.PrjPCB|ReportField=ProjectFullPath~C:\Users\benoi_000\Documents\Option_EOC_I2\Mini_Projet_Objet_Connecté\Développement\Altium_Projet_EOC\projet_pcb_etu.PrjPCB|ReportField=Title~Bill of Materials For Project [projet_pcb_etu.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~68|ReportField=ReportTime~11:56:55|ReportField=ReportDate~22/05/2016|ReportField=ReportDateTime~22/05/2016 11:56:55|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~22/05/2016|ReportField=CurrentTime~11:56:38|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\benoi_000\Documents\Option_EOC_I2\Mini_Projet_Objet_Connecté\Développement\Altium_Projet_EOC\projet_pcb_etu_formatA4.SchDoc|ReportField=DocumentName~projet_pcb_etu_formatA4.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~20/05/2016|ReportField=Organization~Altium Limited|ReportField=PageSetup~Record=PageOptions|CenterHorizontal=True|CenterVertical=True|PrintScale=0.58|XCorrection=1.00|YCorrection=1.00|PrintKind=1|BorderSize=5000000|LeftOffset=0|BottomOffset=0|Orientation=2|PaperLength=1000|PaperWidth=1000|Scale=100|PaperSource=7|PrintQuality=-4|MediaType=1|DitherType=10|PrintScaleMode=1|PaperKind=Lettre (8,5 x 11 po.)|PaperIndex=9|ReportField=ProjectName~projet_pcb_etu.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Size~|ReportField=Time~|ReportField=Title~|ReportField=VariantName~|ReportField=DataSourceFileName~projet_pcb_etu.PrjPCB|ReportField=DataSourceFullPath~C:\Users\benoi_000\Documents\Option_EOC_I2\Mini_Projet_Objet_Connecté\Développement\Altium_Projet_EOC\projet_pcb_etu.PrjPCB
CMS_POLARISE_TANTALE_3528-21|CONDENSATEUR CMS POLARISE TANTALE BOITIER B/3528-21|C1, C2, Cin, Cout1|CONDENSATEUR_CMS_POLARISE_TANTALE_B/3528-21|CONDENSATEUR_CMS_POL_TANT_B_3528-21|4
CMS_0805|CONDENSATEUR CMS CERAMIQUE 0805|C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C18, C25, C26, Cd2, Cd3, CdH1, CdH2, CdT1, CdT2, Cout2, Cout3|CONDENSATEUR_CMS_0805|CONDENSATEUR_CMS_CER_0805|21
CMS_POLARISE_TANTALE_7343-31|CONDENSATEUR CMS POLARISE TANTALE BOITIER D/7343-31|Cout4|CONDENSATEUR_CMS_POLARISE_TANTALE_D/7343-31|CONDENSATEUR_CMS_POL_TANT_D_7343-31|1
LED_3MM|LED 3MM - ROUGE/VERTE/JAUNE|D1|LED_3MM|LED_3MM|1
BARRETTE_6 CONTACTS_1 RANGEE_MALE_COUDEE|BARRETTE 6 CONTACTS 1 RANGEE MALE COUDEE|ICSP|BARRETTE_6_M_C|BARRETTE_6 CONTACTS_1 RANGEE_MALE_COUDEE|1
EMBASE_BASSE_TENSION_2.1mm|EMBASE BASSE TENSION 2.1mm|J1|EMBASE_BASSE_TENSION_2.1mm|EMBASE_BASSE_TENSION_2.1mm|1
RJ45_MAGJACK_LEDS|EMBASE RJ45_MAGJACK_LEDS|J2|RJ45_MAGJACK_LED|RJ45_MAGJACK_LEDS|1
BARRETTE_8 CONTACTS_2 RANGEES_MALE_DROITE|BARRETTE_8 CONTACTS_2 RANGEES_MALE_DROITE|J5|BARRETTE_8X2_M_D|BARRETTE_8 CONTACTS_2 RANGEES_MALE_DROITE|1
BARRETTE_4 CONTACTS_1 RANGEE_MALE_DROITE|BARRETTE 4 CONTACTS 1 RANGEE MALE DROITE|J6|BARRETTE_4_M_D|BARRETTE_4 CONTACTS_1 RANGEE_MALE_DROITE|1
BARRETTE 3 CONTACTS 1 RANGEE FEMELLE DROITE|BARRETTE 3 CONTACTS 1 RANGEE FEMELLE DROITE|JCapHyg1, JCapHyg2, JCapTemp1, JCapTemp2|BARRETTE_3_F_D|BARRETTE_3 CONTACTS_1 RANGEE_FEMELLE_DROITE|4
JUMPER2|BARRETTE 2 CONTACTS 1 RANGEE MALE DROITE|JP1, JP2|BARRETTE_2_M_D|JUMPER2|2
DOUILLE BANANE 4mm COUDEE|DOUILLE BANANE 4 mm COUDEE|J_GND, J_VCC|DOUILLE_BANANE_4MM_COUDEE|DOUILLE_BANANE_4mm_COUDEE|2
POINT_TEST|POINT TEST|PTGND|POINT_TEST|POINT_TEST|1
RESISTANCE_CMS_0805|RESISTANCE CMS 0805|R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R12, R13, R16, RH1, RH2, Rmclr, RT1, RT2|RESISTANCE_CMS_0805|RESISTANCE_CMS_0805|18
RESISTANCE_VARIABLE_CMS : TS53YL|RESISTANCE VARIABLE_CMS : TS53YL|R17|TRIMMER_CMS_TS53YL|RESISTANCE_VARIABLE_CMS : TS53YL|1
